index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
"(1, 13, 9, 10, 1, 1, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.2,0.0,0.0,1.0,false,4.169457761569164,599148.4353806162,18.659722342270392,1.2595953591734352,6,0.3290808616976532,8.476386168274514,18.389599999999994,6.114681830138478,34.941039029362734,22.638636712229886,0.0,37.86768881278121,2.730686082744165e7,121916.78568556036,98631.5349163152,6633.6589835047125,5504.0133764444345,26115.55677596396,407.3194633460968,7696.083537977436,5964.2967454161,16036.649249086813,27314.82204571761,70.26239148938343,1.147293401061643,1.4149517565091019,1.0028120339543092,0.17602573835628535,0.15674580250775913
"(1, 13, 9, 10, 1, 2, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,4.177850239791815,599921.7815048178,18.695500594362386,1.2620254723383084,6,0.47153912657501074,8.481452452225366,18.389599999999994,6.118622273211363,34.96355584692208,22.638636712229886,0.0,37.8780084997195,2.736015218049091e7,121964.61803928165,98800.10357091256,6648.535513527131,5515.753953412646,26124.473220722397,409.20678449464117,7722.876982193397,5969.40870401717,16067.783855973314,27362.859826329364,70.35297810390482,1.1475980532288548,1.416729704775212,1.0039678265353615,0.17627167686488351,0.1569519029937229
"(1, 13, 9, 10, 1, 3, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,4.188041476421502,600863.3148292843,18.739090891245333,1.2649765641184982,6,0.6478227468221238,8.487616046028723,18.389599999999994,6.123416179502864,34.99094959715922,22.638636712229886,0.0,37.89054153885921,2.7424867780788776e7,122022.85936810514,99005.37872477861,6666.591682444747,5530.054212517663,26135.298677488398,411.50970597537713,7755.5394417821435,5975.622710998989,16105.701374291222,27421.36589370728,70.46326361987262,1.1479694775365854,1.4188943140753711,1.0053745195833923,0.17656990523856608,0.15720271050133197
"(1, 13, 9, 10, 1, 4, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.3,0.0,0.0,1.0,false,4.197244321228951,601715.7960078954,18.778587659096033,1.2676416478089922,6,0.8100567053561472,8.493192421139609,18.389599999999994,6.127753360144663,35.01573348654093,22.638636712229886,0.0,37.901860841267805,2.7483308930802427e7,122075.59966199294,99191.28399436215,6682.888413029939,5543.007999613486,26145.07260632869,413.59965358887297,7785.152516619113,5981.2401450781845,16140.044089584075,27474.35841458448,70.56311642280131,1.1483063691200637,1.420854184315446,1.0066477339919564,0.17683881471306176,0.15742968820406414
"(1, 13, 9, 10, 1, 5, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,4.200256913287294,601995.3198221774,18.791544488693326,1.2685140943047577,6,0.8637842523892663,8.495020004452014,18.389599999999994,6.12917481383209,35.02385607904051,22.638636712229886,0.0,37.90556653416258,2.7502440341716185e7,122092.89452675992,99252.25075873332,6688.221410235216,5547.256739493903,26148.27173775483,414.28593739478424,7794.870743856985,5983.0802534358945,16151.30726215572,27491.738523261578,70.59585724302707,1.1484169725469424,1.421496813392038,1.0070651250916152,0.17692676036216023,0.15750409079367783
"(1, 13, 9, 10, 1, 6, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,4.214786535741758,603346.5946718141,18.85422259844325,1.2727220080926842,6,1.1271291382722965,8.503848808654366,18.389599999999994,6.136041661545031,35.06309520882875,22.638636712229886,0.0,37.92344081862241,2.7594713495105714e7,122176.51407978262,99547.04398210722,6713.929456459667,5567.804901072207,26163.6982621929,417.61052031840336,7841.908317070628,5991.963386369597,16205.772693843704,27575.786593693865,70.75413060713784,1.1489527786510556,1.4246034032925898,1.0090822666246093,0.1773503410683389,0.15786361584322292
"(1, 13, 9, 10, 1, 7, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,4.232004718075909,604954.5041509914,18.92889550004559,1.2777088153166405,6,1.4480574405713615,8.514341249722085,18.389599999999994,6.144202449042145,35.10972828024083,22.638636712229886,0.0,37.94462641531073,2.770406677567221e7,122276.04590944,99897.97473284697,6744.3662581322815,5592.275005462607,26181.973400044848,421.58143008086256,7898.004148454983,6002.507923753415,16270.619826681777,27675.860361089137,70.94245833586133,1.1495932939140476,1.4282999787056303,1.0114812035117355,0.17785105346163513,0.15829109920786796
"(1, 13, 9, 10, 1, 8, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,4.2523989642910305,606867.9869329344,19.01788796433428,1.2836158695863897,6,1.840205285340855,8.526809196774872,18.389599999999994,6.153899741194311,35.16514137825321,22.638636712229886,0.0,37.969725314751216,2.783359998443952e7,122394.54561727602,100315.81917125588,6780.375700716573,5621.423412532222,26203.611595298466,426.32796084687857,7964.938441739665,6015.021841741053,16347.845794291352,27795.04273740497,71.16656964729168,1.1503610163549123,1.432699036553224,1.014334228535281,0.17844235237887532,0.15879937602994162
"(1, 13, 9, 10, 1, 9, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,4.276612176338017,609151.8941256079,19.124290461586305,1.2906295413696407,6,2.322054625983878,8.541664581958182,18.389599999999994,6.16545392967022,35.23116531240126,22.638636712229886,0.0,37.999531498882845,2.798740019499778e7,122536.07392393849,100814.88300998842,6823.06554307013,5656.254898299244,26229.290797688638,432.0229045343329,8045.084569999598,6029.9123505410735,16440.103252632925,27937.426836622024,71.43405657995297,1.1512880937255767,1.4379496548655613,1.0177370353905002,0.17914183116009944,0.15940542895926207
"(1, 13, 9, 10, 1, 10, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,4.305509804646219,611893.8509562069,19.252293542378744,1.2990007640879027,6,2.9191018025763835,8.559461872903023,18.389599999999994,6.179296267071763,35.31026438326722,22.638636712229886,0.0,38.03511424111228,2.8170970839429498e7,122706.13975019754,101414.5372430903,6873.915952227239,5698.130895583099,26259.923356596963,438.90194101728696,8141.67275743389,6047.728777661555,16550.986159859087,28108.55468458297,71.75517627045275,1.1524241377052993,1.4442532544035405,1.0218187318063032,0.17997289265577618,0.1601321626140132
"(1, 13, 9, 10, 1, 11, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.525,0.0,0.0,1.0,false,4.340298950924842,615215.5603005697,19.40774083768334,1.3090794521017415,6,3.6673105134360062,8.5809679050757,18.389599999999994,6.196023180983847,35.40584674847913,22.638636712229886,0.0,38.07796520249829,2.8391986741355605e7,122912.44759822621,102141.76863331393,6934.962342808871,5748.948039782057,26296.7818803344,447.2954472076608,8259.228452051566,6069.236300327315,16685.505881428136,28316.14329962514,72.14417433426945,1.1538601537565756,1.4518895970593662,1.0267583501244313,0.1809675635267349,0.16101132095458381
"(1, 13, 9, 10, 1, 12, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.5611111111111111,0.0,0.0,1.0,false,4.383011242056937,619305.8620731353,19.59971736398688,1.3214527489501036,6,4.619252649864601,8.607368871032737,18.389599999999994,6.216557265617095,35.52318437495483,22.638636712229886,0.0,38.130587023769735,2.8663351917403e7,123167.29209838205,103038.74788175222,7009.387043068029,5811.648262957678,26342.015464402102,457.71272060907984,8404.85995371181,6095.674023828008,16851.51035230695,28572.19019389795,72.62314908876621,1.1559721456803447,1.4612928256062374,1.0328328856729336,0.18217580215016776,0.16209196545669144
"(1, 13, 9, 10, 1, 13, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.5972222222222222,0.0,0.0,1.0,false,4.4343359518721694,624325.8067878918,19.836210140841164,1.336329458604071,6,5.849739349624688,8.639650559969816,18.389599999999994,6.241665245901492,35.66665854800853,22.638636712229886,0.0,38.19387755121462,2.898952754358988e7,123479.60088545292,104140.63003422153,7099.4225208664075,5888.8395693990915,26396.301789127807,470.660675764686,8584.651653295003,6127.764999497188,17055.48746348809,28887.063957383623,73.21096733397201,1.1577494631998038,1.4728327927297407,1.0402794261961825,0.18363109007491746,0.1634162499857051
"(1, 13, 9, 10, 1, 14, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.6333333333333333,0.0,0.0,1.0,false,4.4982287477802805,630664.3664627068,20.13617477884844,1.3548546410296325,6,7.478228447481909,8.680224700759181,18.389599999999994,6.273222910959886,35.84698806262792,22.638636712229886,0.0,38.2727212463209,2.9395657338771123e7,123874.73888299387,105534.69718643356,7211.331107568947,5986.648869229577,26463.812123479383,487.23261584624464,8813.583738322171,6167.992315979923,17313.696122239242,29285.660806318014,73.95314355353442,1.1597839789423867,1.487403721661835,1.04966621786734,0.1854303458550553,0.16508473175565078
"(1, 13, 9, 10, 1, 15, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.6694444444444444,0.0,0.0,1.0,false,4.580136629069638,638927.1686212021,20.529412279346957,1.3786153888420678,6,9.697779349058985,8.732807396927459,18.389599999999994,6.314120563535213,36.080688934486936,22.638636712229886,0.0,38.37389747863266,2.991642371376237e7,124407.98562220631,107358.29667043436,7354.350226717594,6115.098440033467,26550.266829580367,527.2385757617965,9113.56339106768,6220.369996757368,17651.817111099437,29806.961409872427,74.92054707510046,1.1623948527272217,1.5063958954241463,1.061882145747833,0.18771468463680635,0.16726010579673542
"(1, 13, 9, 10, 1, 16, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.7055555555555556,0.0,0.0,1.0,false,4.688517654225672,650091.7999948696,21.064681412022264,1.4100807429927937,6,12.839078149524962,8.803313469018008,18.389599999999994,6.36895861960564,36.394049254889374,22.638636712229886,0.0,38.507962293857915,3.0605714706147928e7,125166.16619353544,109834.61387380703,7542.944127013148,6290.549561204855,26664.530490924546,619.6792456243413,9520.974171909453,6291.234880612046,18111.64197038264,30514.430432820467,76.22756623711142,1.1658545658166235,1.5320534522510116,1.0783560747278558,0.1907017440828924,0.1702033885267047
"(1, 13, 9, 10, 1, 17, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.7416666666666667,0.0,0.0,1.0,false,4.837387081141093,665766.0905242927,21.823812634408256,1.4533281007472127,6,17.510033543761097,8.901276426748115,18.389599999999994,6.445152031173502,36.8294401781343,22.638636712229886,0.0,38.69236780452855,3.1552823632306404e7,126243.82797306942,113331.49162819433,7800.310328421457,6539.264891368286,26821.250546978124,756.7817205251165,10103.077960657232,6389.974955538546,18761.96821209358,31513.803184835382,78.06233394984594,1.170613683713198,1.5680720910620993,1.101411239351837,0.19473341449494808,0.1743223526266707
"(1, 13, 9, 10, 1, 18, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.7777777777777778,0.0,0.0,1.0,false,5.05403622947974,689221.0024525042,22.976234730154673,1.516322531171756,6,24.952339408287497,9.045724602208018,18.389599999999994,6.557500612086761,37.471432069067205,22.638636712229886,0.0,38.96123964818308,3.293174878697995e7,127886.43065084293,118610.2391051177,8171.509668641574,6916.80436853846,27048.925647636734,977.4667258122516,10995.967326001644,6536.555839378844,19745.856994477694,33022.70775405081,80.80753876271288,1.177553509513345,1.621964744262786,1.135767801263847,0.20046180630560992,0.1804618038179609
"(1, 13, 9, 10, 1, 19, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.8138888888888889,0.0,0.0,1.0,false,5.398334626841152,727917.475106335,24.91956920755262,1.616593713597722,6,38.09507985452313,9.278742629543093,18.389599999999994,6.738736855569595,38.50706774611197,22.638636712229886,0.0,39.38978145407557,3.512445184054097e7,130677.00198329687,127451.77286259986,8754.093395455677,7554.204245675451,27410.068053810977,1380.7758140900808,12524.513108150299,6778.41922071251,21400.175309596998,35547.29268591768,85.3359828974093,1.1886177375154947,1.7108644772991426,1.1921257898005995,0.20925990517842316,0.19054312590966518
"(1, 13, 9, 10, 1, 20, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,2,0.85,0.0,0.0,1.0,false,6.034807323945763,803454.3090044835,28.858554947794442,1.8025094283467025,6,65.66753029804237,9.716351909778842,18.389599999999994,7.079099629086291,40.451997880493096,22.638636712229886,0.0,40.18583733002008,3.918155099647185e7,136413.97329059395,145205.22491087695,9813.62137090838,8852.758181819403,28076.52026063593,2301.560085485349,15694.517412746958,7257.076310837507,24746.058702515562,40599.478701912085,94.17405016384005,1.2091922865140257,1.8843477130799635,1.3012041448597085,0.22471868559271246,0.21012386400674155
"(1, 13, 9, 10, 2, 1, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,4,0.2,0.0,0.0,1.0,false,3.8870312108092344,536703.4854493723,16.57098914209796,1.1713817951769196,6,0.20987025081650193,8.057015691436689,18.389599999999994,8.184513903878297,33.077170243416845,22.638636712229886,0.0,37.493611233708194,1.2742883064757755e7,120256.37568569974,53928.12503155617,6156.328871408054,4326.385631408507,25827.716996678584,264.8747008130856,7201.031315783886,4929.034080706114,9182.3088391642,12852.719797661144,62.96627387447138,1.1366753004123344,1.2727197816294478,0.9065108025741451,0.16802155359923673,0.13512036036801656
"(1, 13, 9, 10, 2, 2, 1, 7, 2, 1)",1667.0,nacelle,2.25,10.970703472840606,1.0,4,0.2361111111111111,0.0,0.0,1.0,false,3.894008152587993,537188.2336314779,16.594216528745953,1.1733718537094178,6,0.3006225002086674,8.060374881611247,18.389599999999994,8.197042518351381,33.092099977526004,22.638636712229886,0.0,37.50203804443835,1.2764947898540506e7,120292.55872288701,53944.84649470479,6168.4033895511475,4332.448848994727,25835.176826764222,265.88595881839166,7222.091369961446,4926.149141780967,9186.254570983458,12860.019739362262,63.0231277029656,1.136908567929507,1.2738389905452936,0.9072404482984601,0.16822682216555693,0.13523710384509882
