index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max
"(1, 9, 8, 10, 1, 1, 1, 7, 2, 1)",2667.0,nacelle,2.54,10.1,1.0,2,0.2,0.0,0.0,1.0,false,5.345507829900539,922970.9645916083,31.741968091741263,1.1429155158916098,7,0.40617759840178497,8.941062967602111,25.14600000000001,5.549136060155489,38.941305685301685,31.24200000000001,0.0,49.1494709525384,3.593395540189141e7
"(1, 9, 8, 10, 1, 2, 1, 7, 2, 1)",2667.0,nacelle,2.54,10.1,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,5.355150604593001,924133.5008887306,31.801323262335856,1.1449285613654858,7,0.5818521958195253,8.94630424380352,25.14600000000001,5.552623446266154,38.965778570288805,31.24200000000001,0.0,49.165659207543506,3.599728339300114e7
"(1, 9, 8, 10, 1, 3, 1, 7, 2, 1)",2667.0,nacelle,2.54,10.1,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,5.366856725581676,925548.2082468915,31.873602450829882,1.147372474854309,7,0.7991117236882964,8.952677902438074,25.14600000000001,5.556864285279808,38.99553884406883,31.24200000000001,0.0,49.185312827659864,3.607416391312956e7
"(1, 9, 8, 10, 1, 4, 1, 7, 2, 1)",2667.0,nacelle,2.54,10.1,1.0,2,0.3,0.0,0.0,1.0,false,5.377424172786227,926828.4898659404,31.93905993945924,1.149578785979599,7,0.9989348245500341,8.958441654448507,25.14600000000001,5.560699310936555,39.022451304817935,31.24200000000001,0.0,49.20305610235541,3.614356807280091e7
"(1, 9, 8, 10, 1, 5, 1, 7, 2, 1)",2667.0,nacelle,2.54,10.1,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,5.38088275322943,927248.1571145906,31.960526045374323,1.1503009043279349,7,1.0650858551369224,8.960330091481458,25.14600000000001,5.561955819623849,39.03126890964105,31.24200000000001,0.0,49.20886351035812,3.61662834245868e7
"(1, 9, 8, 10, 1, 6, 1, 7, 2, 1)",2667.0,nacelle,2.54,10.1,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,5.3975581091232625,929276.0134014536,32.06431798611543,1.1537827225423103,7,1.3891484042327795,8.969448993528916,25.14600000000001,5.568023260285777,39.073847440601945,31.24200000000001,0.0,49.23686551573078,3.627580686683721e7
"(1, 9, 8, 10, 1, 7, 1, 7, 2, 1)",2667.0,nacelle,2.54,10.1,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,5.41730692977571,931687.0303582982,32.187864787245594,1.157906616504272,7,1.7836873045433475,8.980277732370459,25.14600000000001,5.575228374456608,39.124409645309534,31.24200000000001,0.0,49.27003260466997,3.640552188246009e7
"(1, 9, 8, 10, 1, 8, 1, 7, 2, 1)",2667.0,nacelle,2.54,10.1,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,5.440679114810254,934553.3190063554,32.334943583349244,1.1627875901271594,7,2.2652306349972764,8.993132734098515,25.14600000000001,5.583781702454654,39.18443299968178,31.24200000000001,0.0,49.30929041120943,3.655904307074008e7
"(1, 9, 8, 10, 1, 9, 1, 7, 2, 1)",2667.0,nacelle,2.54,10.1,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,5.468395382467097,937970.1067202826,32.51055771065847,1.1685763936901417,7,2.856126351053008,9.008430516676784,25.14600000000001,5.593960382691556,39.25586233467759,31.24200000000001,0.0,49.355852248342025,3.674110870025142e7
"(1, 9, 8, 10, 1, 10, 1, 7, 2, 1)",2667.0,nacelle,2.54,10.1,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,5.501413986541858,942065.0467484309,32.72143842190799,1.1754735344933276,7,3.587108439766734,9.026727320444474,25.14600000000001,5.606134520607024,39.341294881452804,31.24200000000001,0.0,49.41133253757814,3.695801869012252e7
