index,sigma_fcs,span_loc,fcs_loc,wing_frac,nacelle_frac,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,L_fuse,span,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
"(1, 1, 1, 1, 1)",4000.0,0.0,-1.0,1.0,0.2,3.629691441802876,464804.4810173047,12.636513960517366,1.1055455685821662,6,0.6535011621900985,18.389599999999994,30.79176277414867,0.0,37.215192736253826,2.379323817152015e7,115716.38229514522,78409.96153378273,6961.003723978871,3978.9380587543374,25651.02038871086,86.47140733268574,3307.134333282275,6937.325303881499,43256.51677243118,19672.41245427729,54.56578423759223,1.1290554214987547,1.1073842404466687,0.8321134422575591,0.18139087579142305,0.12832166864011862
"(1, 2, 1, 1, 1)",4000.0,0.05263157894736842,-1.0,1.0,0.2,3.6234190877902517,463441.32975318935,12.597588617496921,1.1036656337592508,6,0.6518396769008152,18.389599999999994,30.746785055852794,0.0,37.20725354544264,2.375266191566645e7,115680.48617437246,77415.20957629792,6953.470395416384,3955.9587070945067,25645.227158093752,84.18275552533227,3293.9459218365187,6730.7223359268855,42988.57749760359,19597.296593565992,54.40649150563779,1.1288401817616867,1.104262803004694,0.8301534179023969,0.18126847900843804,0.12786415627233436
"(1, 3, 1, 1, 1)",4000.0,0.10526315789473684,-1.0,1.0,0.2,3.617207810089136,462091.1719278982,12.559124155892519,1.10180428245896,6,0.6501957489436955,18.389599999999994,30.702171094868444,0.0,37.1993934738321,2.3712479674029365e7,115645.02128911603,76429.69968274614,6946.046043255173,3933.2569711150245,25639.49662901476,81.92576702582849,3280.925092154871,6525.55146885079,42723.53747633014,19522.97865886649,54.24871708650089,1.1286271796008818,1.1011710734763576,0.8282124712708536,0.18114780436987163,0.12741116972731428
"(1, 4, 1, 1, 1)",4000.0,0.15789473684210525,-1.0,1.0,0.2,3.6110566895092586,460753.81396829913,12.52111265822151,1.0999612465918438,6,0.6485691126976424,18.389599999999994,30.65791605892624,0.0,37.191611371081066,2.3672685792615164e7,115609.9802943801,75453.29513123012,6938.728811333681,3910.8279605574453,25633.827879330525,79.69983713462753,3268.0689021444477,6321.795414443357,42461.351063619346,19449.44581630465,54.092438324359115,1.128416379877207,1.0981086085492735,0.8262903118344685,0.18102882365803347,0.12696263975398725
"(1, 5, 1, 1, 1)",4000.0,0.21052631578947367,-1.0,1.0,0.2,3.604964790443787,459429.0598154053,12.483546154437903,1.098136224813672,6,0.6469594639948987,18.389599999999994,30.614015013786975,0.0,37.18390595227403,2.363327393996417e7,115575.35557575716,74485.86055974115,6931.516782375249,3888.666812818543,25628.21986010108,77.50436700933949,3255.374304491196,6119.437108828014,42201.97248111907,19376.68517896692,53.93763234742232,1.1282077439830842,1.0950749609996941,0.8243866505113067,0.18091150774992082,0.1265184969374516
"(1, 6, 1, 1, 1)",4000.0,0.2631578947368421,-1.0,1.0,0.2,3.5989312625738816,458116.7259959538,12.446417236372655,1.0963289689185645,6,0.645366552469071,18.389599999999994,30.57046342987121,0.0,37.17627615436702,2.359423881750432e7,115541.1401626355,73527.2651525042,6924.408379000911,3866.768906190664,25622.67172091465,75.338782464579,3242.8384552416496,5918.459871193418,41945.358613131975,19304.684631065655,53.78427785118749,1.1280012394876142,1.092069714921111,0.822501224343691,0.18079583315123196,0.12607867599890835
"(1, 7, 1, 1, 1)",4000.0,0.3157894736842105,-1.0,1.0,0.2,3.5929551423640587,456816.61932884017,12.409717961928177,1.094539168331241,6,0.6437900752142084,18.389599999999994,30.527256292001223,0.0,37.1687206511199,2.355557402678831e7,115507.32666035475,72577.37801473525,6917.4013640327685,3845.12950335014,25617.182376086817,73.20251026081611,3230.4585064992248,5718.847188950251,41691.464204876334,19233.431469054165,53.63235195824858,1.1277968269964183,1.0890924210424624,0.8206337238730704,0.18068176473669154,0.12564310798121267
"(1, 8, 1, 1, 1)",4000.0,0.3684210526315789,-1.0,1.0,0.2,3.5878139174219026,455881.7274945772,12.381727959407248,1.0929062728535248,6,0.6424412326061527,18.389599999999994,30.496145516587745,0.0,37.161828041919335,2.352259412121414e7,115491.5160812985,71934.09817074797,6901.192249793873,3824.7254728887906,25611.81068054312,71.89762453883726,3234.2420341207567,5970.077236422953,11334.650216831475,48974.73123512238,53.52309262476404,1.1276104185667815,1.0869115279734234,0.8188584786653234,0.18041772822933902,0.12523154453795718
"(1, 9, 1, 1, 1)",4000.0,0.42105263157894735,-1.0,1.0,0.2,3.555485466025347,449222.1560471973,12.193270572208407,1.083034460234675,6,0.633954382601752,18.389599999999994,30.273623288829416,0.0,37.12016893544089,2.3314004543352645e7,115337.01888395727,67145.94827145945,6843.262488852114,3705.3732734310506,25580.869863761578,61.5760615637273,3197.1590737626725,5758.812777437325,10589.676914717611,47267.831358953335,52.74485489811479,1.126485132555578,1.0715785538514278,0.808397055593907,0.17947218910285032,0.1228070452173758
"(1, 10, 1, 1, 1)",4000.0,0.47368421052631576,-1.0,1.0,0.2,3.52496963279147,442928.5580837134,12.017211312662358,1.0737199320583442,6,0.6259778166378879,18.389599999999994,30.061815544482908,0.0,37.08087983466355,2.3117091499631356e7,115192.56022386446,62614.63465047,6789.894649568823,3594.52391476017,25551.79692590842,52.01495573452133,3162.3248231636953,5552.214879234861,9887.158598711423,45657.31412741686,52.00938380487201,1.125425922020723,1.0570883372294446,0.7985086969582391,0.17859846187723522,0.1205283152807664
"(1, 11, 1, 1, 1)",4000.0,0.5263157894736842,-1.0,1.0,0.2,3.4961051386501776,436968.92754356354,11.85233255301265,1.064912006961446,6,0.6184638105252757,18.389599999999994,29.85986212208486,0.0,37.04374283817292,2.2930816996009577e7,115057.14788577396,58318.24975473106,6740.610092908956,3491.2916603034587,25524.416580377947,43.134937853753634,3129.526614226004,5349.924513824713,9223.34541189059,44134.95919397953,51.312939360344906,1.124426456676929,1.043367016940476,0.7891431029107612,0.17778930485718564,0.11838182112448184
"(1, 12, 1, 1, 1)",4000.0,0.5789473684210527,-1.0,1.0,0.2,3.4687519640035593,431315.2496999618,11.697583667399106,1.0565686724052687,6,0.6113710778425713,18.389599999999994,29.66700585972558,0.0,37.008578110850934,2.2754279369324714e7,114929.93835023695,54237.3666841472,6695.008127861859,3394.91164550201,25498.584746899993,34.867240265619394,3098.583343138666,5151.629750028869,8594.928174309267,42693.51064114617,50.65224884032475,1.1234815310606212,1.030350013843953,0.7802566512272743,0.1770386399698625,0.11635573598446457
