index,sigma_fcs,span_loc,fcs_loc,wing_frac,nacelle_frac,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,L_fuse,span,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
"(1, 1, 1, 1, 1)",4000.0,0.0,-1.0,1.0,0.2,3.629691441802876,464804.4810173047,12.636513960517366,1.1055455685821662,6,0.6535011621900985,18.389599999999994,30.79176277414867,0.0,37.215192736253826,2.379323817152015e7,115716.38229514522,78409.96153378273,6961.003723978871,3978.9380587543374,25651.02038871086,86.47140733268574,3307.134333282275,6937.325303881499,43256.51677243118,19672.41245427729,54.56578423759223,1.1290554214987547,1.1073842404466687,0.8321134422575591,0.18139087579142305,0.12832166864011862
"(1, 2, 1, 1, 1)",4000.0,0.05263157894736842,-1.0,1.0,0.2,3.6234190877902552,463441.3297531893,12.597588617496937,1.1036656337592514,6,0.6518396769008156,18.389599999999994,30.7467850558528,0.0,37.20725354544263,2.375266191566638e7,115680.48617437246,77415.20957629781,6953.470395416411,3955.958707094513,25645.227158093752,84.18275552533265,3293.945921836508,6730.722335926876,42988.577497603554,19597.296593565992,54.40649150563781,1.128840181761684,1.1042628030046984,0.8301534179023979,0.1812684790084387,0.12786415627233455
"(1, 3, 1, 1, 1)",4000.0,0.10526315789473684,-1.0,1.0,0.2,3.6172078100886473,462091.1719279169,12.559124155890304,1.1018042824587404,6,0.6501957489435677,18.389599999999994,30.702171094866646,0.0,37.199393473831094,2.3712479674026355e7,115645.02128911662,76429.69968274666,6946.046043255382,3933.2569711146934,25639.496629013873,81.92576702585562,3280.9250921572257,6525.551468850155,42723.537476335594,19522.978658863944,54.24871708649453,1.1286271796008538,1.10117107347622,0.8282124712705851,0.18114780436985736,0.12741116972729555
"(1, 4, 1, 1, 1)",4000.0,0.15789473684210525,-1.0,1.0,0.2,3.611056689509224,460753.8139742819,12.521112658222982,1.0999612465954784,6,0.6485691126979746,18.389599999999994,30.657916058927505,0.0,37.19161137108331,2.367268579255752e7,115609.98029441858,75453.29513220933,6938.728811419683,3910.827960608093,25633.827879330962,79.69983713442485,3268.0689021814946,6321.795414444121,42461.35106362126,19449.445816307256,54.09243832436357,1.1284163798772653,1.098108608549349,0.8262903118343212,0.18102882365798298,0.1269626397539957
"(1, 5, 1, 1, 1)",4000.0,0.21052631578947367,-1.0,1.0,0.2,3.6049647965642793,459429.06078186457,12.483546193333309,1.0981362303255626,6,0.6469594700294068,18.389599999999994,30.614015045965676,0.0,37.18390597553231,2.3633274050096203e7,115575.35563740107,74485.86077154003,6931.516802973335,3888.666825950313,25628.21988128984,77.50436831628475,3255.374327033279,6119.4371198017125,42201.97266233001,19376.685233888034,53.93763246081111,1.128207744612707,1.0950749632100951,0.8243866517519749,0.1809115080844989,0.12651849720053884
"(1, 6, 1, 1, 1)",4000.0,0.2631578947368421,-1.0,1.0,0.2,3.598931262602871,458116.72599603166,12.446417236491175,1.0963289689303404,6,0.6453665524766036,18.389599999999994,30.570463429966754,0.0,37.176276154338844,2.3594238817685094e7,115541.14016260266,73527.26515258747,6924.408379204468,3866.7689062768513,25622.67172089446,75.33878246961234,3242.8384551841123,5918.459871203801,41945.35861325284,19304.68463120442,53.78427785152367,1.1280012394868537,1.0920697149287697,0.822501224359513,0.18079583315518116,0.12607867600108003
"(1, 7, 1, 1, 1)",4000.0,0.3157894736842105,-1.0,1.0,0.2,3.592955142364059,456816.6193288403,12.409717961928179,1.0945391683312413,6,0.6437900752142088,18.389599999999994,30.527256292001226,0.0,37.1687206511199,2.355557402678837e7,115507.32666035475,72577.3780147353,6917.401364032799,3845.1295033501506,25617.182376086814,73.20251026081677,3230.458506499228,5718.847188950252,41691.464204876305,19233.431469054183,53.6323519582486,1.1277968269964198,1.08909242104246,0.8206337238730709,0.18068176473669212,0.12564310798121284
"(1, 8, 1, 1, 1)",4000.0,0.3684210526315789,-1.0,1.0,0.2,3.5878139174280337,455881.72749465413,12.381727959433173,1.0929062728559986,6,0.6424412326077403,18.389599999999994,30.49614551660864,0.0,37.16182804191417,2.3522594121252507e7,115491.5160812925,71934.09817077166,6901.192249837486,3824.725472905054,25611.810680539456,71.89762453975764,3234.242034109866,5970.077236425382,11334.65021685058,48974.73123517413,53.52309262483739,1.127610418566642,1.0869115279750794,0.8188584786686417,0.18041772823017377,0.12523154453837065
"(1, 9, 1, 1, 1)",4000.0,0.42105263157894735,-1.0,1.0,0.2,3.555485466025349,449222.1560471975,12.193270572208405,1.0830344602346764,6,0.6339543826017522,18.389599999999994,30.273623288829416,0.0,37.12016893544086,2.3314004543352712e7,115337.01888395724,67145.94827145952,6843.262488852144,3705.373273431064,25580.86986376156,61.57606156372781,3197.1590737626734,5758.812777437325,10589.676914717618,47267.83135895335,52.74485489811479,1.126485132555577,1.071578553851428,0.808397055593908,0.17947218910285076,0.12280704521737605
"(1, 10, 1, 1, 1)",4000.0,0.47368421052631576,-1.0,1.0,0.2,3.524969632791468,442928.55808371346,12.017211312662342,1.0737199320583444,6,0.6259778166378872,18.389599999999994,30.061815544482894,0.0,37.08087983466354,2.311709149963142e7,115192.56022386444,62614.63465047001,6789.894649568873,3594.5239147601674,25551.796925908413,52.01495573452097,3162.324823163712,5552.214879234855,9887.158598711407,45657.314127416816,52.00938380487195,1.1254259220207221,1.0570883372294453,0.7985086969582382,0.17859846187723566,0.12052831528076627
