index,sigma_fcs,span_loc,fcs_loc,wing_frac,nacelle_frac,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,L_fuse,span,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
"(1, 1, 1, 1, 1)",4000.0,0.0,-1.0,1.0,0.2,3.743397906719761,473041.8169390705,12.95931045841652,1.146035817355669,6,0.6832830653307913,18.389599999999994,31.062404452479868,0.0,37.386339037088455,2.4505139882750906e7,115459.9928871823,80698.92657923947,7988.913746761823,4517.331457041291,25805.889555427097,82.46470730703265,2563.763642790046,7088.8761355697525,44616.77486361464,20233.881964947905,55.5292026434127,1.133720969332074,1.1305838719946155,0.8842132833146396,0.19765640252466699,0.13876739819982106
"(1, 2, 1, 1, 1)",4000.0,0.05263157894736842,-1.0,1.0,0.2,3.736926746280633,471622.1603590368,12.918227009787511,1.1441074316166748,6,0.6815427007802197,18.389599999999994,31.015969059770455,0.0,37.37818171864652,2.4463237608115017e7,115424.32487595531,79663.31861377838,7979.544587492156,4490.321842694171,25799.992014228697,80.12595370057345,2553.004986344139,6875.781329564233,44337.0369313159,20154.954875008367,55.36330479657808,1.1334973625835834,1.1273345103466006,0.8822795044472692,0.1975118118550226,0.13825515861829368
"(1, 3, 1, 1, 1)",4000.0,0.10526315789473684,-1.0,1.0,0.2,3.730525184888423,470217.091115049,12.877672035169487,1.1422066159474924,6,0.6798224939035841,18.389599999999994,30.969942224333057,0.0,37.370141622310236,2.4421778493994653e7,115389.16752146684,78637.66503406846,7970.341452581437,4463.658678065556,25794.192415198915,77.8209685861273,2542.4058602019336,6664.188270672573,44060.45181364313,20076.92949516199,55.199111507181605,1.1332771022062045,1.124118509373566,0.8803663739148262,0.19736972154817792,0.13774832968046483
"(1, 4, 1, 1, 1)",4000.0,0.15789473684210525,-1.0,1.0,0.2,3.735714682429908,469659.77444571344,12.870518015927054,1.1443159945375396,6,0.6811570725902615,18.389599999999994,30.951686015449738,0.0,37.37906390818387,2.4452985714923136e7,115350.6633970539,77843.92509053806,8062.432779270879,4486.630106593876,25803.688373162095,75.39820317306064,2481.7729462093,6467.550539999534,43922.39526824575,20056.071702000114,55.134052974978374,1.1335215383842405,1.1233313200054094,0.8839299367473228,0.1987888020107937,0.13818505298807165
"(1, 5, 1, 1, 1)",4000.0,0.21052631578947367,-1.0,1.0,0.2,3.7457998005524367,469456.84540684696,12.877372449353857,1.148086731305979,6,0.6837842497799229,18.389599999999994,30.94505516584935,0.0,37.39501535075594,2.451490225069643e7,115315.05526195471,77144.08001458766,8196.547539973737,4529.068307743738,25819.520554612296,72.98333952249467,2405.167874100739,6276.495892424851,43841.92182575117,20058.987571258014,55.110432519999684,1.1339589544694901,1.1235700662972485,0.889863223018707,0.20084465112153638,0.13898962243171736
"(1, 6, 1, 1, 1)",4000.0,0.2631578947368421,-1.0,1.0,0.2,3.7568130298925486,469318.99910809414,12.886842157258176,1.1521385136944553,6,0.6866600397030964,18.389599999999994,30.940558869208115,0.0,37.41215819967353,2.4582661341952566e7,115284.35497348961,76459.5260493394,8337.798573242337,4573.70542297009,25836.4220274512,70.63470509234409,2330.745162890716,6086.0185158482955,43771.868061850975,20066.13211769479,55.0944186625845,1.1344296414789738,1.124005978033074,0.8963025767792441,0.20299633925134475,0.13983276814382056
"(1, 7, 1, 1, 1)",4000.0,0.3157894736842105,-1.0,1.0,0.2,3.768810989685913,469249.3186947433,12.899061414920794,1.1564879922415592,6,0.6898004192002011,18.389599999999994,30.938299259860777,0.0,37.4305636428655,2.465661861809897e7,115258.66750454328,75790.47857639546,8486.694466683492,4620.705106721231,25854.456857266756,68.3526416794126,2258.4347538372076,5896.029653368283,43712.68187005841,20077.71653626361,55.08637179322697,1.1349357128404316,1.1246484998345112,0.9032810397252545,0.20524977645514852,0.14071713826379215
"(1, 8, 1, 1, 1)",4000.0,0.3684210526315789,-1.0,1.0,0.2,3.780943194371892,469465.15531548223,12.917378038308183,1.1607693624500681,6,0.6929909648545053,18.389599999999994,30.94540468636086,0.0,37.44868379655776,2.4731825223741814e7,115246.02660572219,75387.88795590722,8622.721315428016,4667.4805750609385,25871.79458637187,66.79345765389776,2199.3795128286715,6171.139882018488,11971.767672339109,51440.57405769446,55.11167745785764,1.1354346938381343,1.1258741353577086,0.9100226022346403,0.20729555737090502,0.14159387213508734
"(1, 9, 1, 1, 1)",4000.0,0.42105263157894735,-1.0,1.0,0.2,3.762379428119651,463394.7950039232,12.753529652514608,1.1558192739452582,6,0.6879080699160841,18.389599999999994,30.74561876705877,0.0,37.42773428888551,2.460876422344709e7,115087.42988313829,70507.15520378767,8685.442472307637,4578.811469457178,25860.42333185754,55.78929332637448,2115.3224051060197,5963.13005522078,11214.541211609589,49808.35473944912,54.402364083679004,1.134857868194985,1.1125592006829899,0.9072613224376924,0.20823478335470244,0.13992901354413276
"(1, 10, 1, 1, 1)",4000.0,0.47368421052631576,-1.0,1.0,0.2,3.74595303380631,457681.32159839675,12.602069083918233,1.1515279295784213,6,0.6834087693144001,18.389599999999994,30.556385915602114,0.0,37.409576012462054,2.449936698053729e7,114941.34792638474,65860.31079228084,8754.925688556936,4497.5261354815375,25851.382588552126,45.556120262790905,2035.8729913869595,5758.617834916504,10496.109841272375,48268.442845868805,53.734754584431855,1.1343587023604185,1.10008959386714,0.9053550807128719,0.20927231340012353,0.13839190348237893
"(1, 11, 1, 1, 1)",4000.0,0.5263157894736842,-1.0,1.0,0.2,3.731582345955403,452297.7741491476,12.461986878183598,1.1478614790252093,6,0.6794670720487801,18.389599999999994,30.377003076612496,0.0,37.39406309921866,2.440310024563268e7,114806.83222741098,61426.90698487917,8831.137761800668,4423.011580687034,25844.56217479697,36.0164562492742,1960.6315451278747,5557.244469505984,9812.991760878142,46813.795363192476,53.10570117081226,1.1339328271573272,1.0884047668264873,0.9043027203973911,0.21040678326424672,0.13697344686555865
"(1, 12, 1, 1, 1)",4000.0,0.5789473684210527,-1.0,1.0,0.2,3.7191924346429768,447219.93833097763,12.332390773536964,1.1447927917871197,6,0.676059465999627,18.389599999999994,30.206831859234992,0.0,37.38108063300744,2.4319474220836118e7,114683.06202024594,57188.40658301326,8914.094341832959,4354.728844422643,25839.877153078793,27.10179016014071,1889.2423329613716,5358.678791375517,9162.045808053706,45437.988910822154,52.51237410051647,1.1335768113379738,1.0774505759216482,0.9041003339527868,0.21163749494385828,0.13566555457246351
"(1, 13, 1, 1, 1)",4000.0,0.631578947368421,-1.0,1.0,0.2,3.708705645844598,442425.55627779616,12.212470054983267,1.1422969031070291,6,0.6731623179071706,18.389599999999994,30.045275782034846,0.0,37.370523304771694,2.4247981478452876e7,114569.29582325842,53127.936335318496,9003.835432673632,4292.194185691973,25837.24988478647,18.75098960819913,1821.3832990870123,5162.610528020947,8540.422783440421,44135.07743466063,51.95216928247045,1.1332875555331288,1.0671774008487092,0.904735597779347,0.21296404218974382,0.13446084682797185
"(1, 14, 1, 1, 1)",4000.0,0.6842105263157895,-1.0,1.0,0.2,3.70010307598299,437902.5928129563,12.101826833271105,1.1404383462091319,6,0.6707681472219499,18.389599999999994,29.89206601289392,0.0,37.36266303573259,2.4188422575295962e7,114465.59083019177,49231.62829736209,9100.813425026829,4235.095266695047,25836.96135215766,10.91492408545702,1756.9110114569437,4968.863313768948,7945.82593836686,42900.435640063915,51.423681157353336,1.1330723412839565,1.0575587928297023,0.9062087303645359,0.2143920166605961,0.13335496751635642
"(1, 20, 1, 1, 1)",4000.0,1.0,-1.0,1.0,0.2,3.7354769913436705,471303.997329244,12.909035238908087,1.1436769194840062,6,0.6811529997000658,18.389599999999994,31.00555274905093,0.0,37.37636065543818,2.4453848509334605e7,115416.355577712,79431.09726920396,7977.45668742202,4484.277914762333,25798.67789431964,79.6031124141415,2550.601678131111,6827.919311241998,44274.37564953588,20137.279137465157,55.326124945861174,1.1334474626200743,1.126606280991639,0.881846214980086,0.19747958137064656,0.13814037341542568
