index,sigma_fcs,span_loc,fcs_loc,wing_frac,nacelle_frac,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,L_fuse,span,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
"(1, 1, 1, 1, 1)",4000.0,-1.0,eng,0.0,0.2,3.6065956872444915,460026.1416645196,12.439766550085677,1.0985017486659339,6,0.6473986706283019,18.389599999999994,30.633805314077318,0.0,37.185449107126665,2.3644198315272685e7,173983.8036042906,77531.24720897758,6919.884855788469,3892.0506531366136,25628.863033448913,0.0,800.2869163004616,6926.387667781032,12431.40147851675,19407.834516246843,54.007390395315404,1.1282495203903533,1.0963896519611793,0.8246775633580528,0.18072219830449637,0.12658637660541294
"(1, 1, 1, 1, 2)",4000.0,-1.0,eng,0.0,0.24210526315789474,3.604615841794967,459592.73161601304,12.42825687865888,1.0979100807746465,6,0.6468756116756744,18.389599999999994,30.61943820033386,0.0,37.1829511538792,2.3631385269721266e7,170765.13268689587,77182.74746000228,6917.713724083647,3884.8983320594784,25627.05073665518,0.0,826.5353897143295,6851.605333708855,12355.712356949227,19384.0561440877,53.95674383939666,1.1281818973168807,1.095397766739019,0.8240610643362632,0.18068685015137395,0.12644287430431186
"(1, 1, 1, 1, 3)",4000.0,-1.0,eng,0.0,0.28421052631578947,3.6026874426794606,459170.07580835174,12.417166866112646,1.097334065749961,6,0.6463662688260745,18.389599999999994,30.6054210875942,0.0,37.18051933218784,2.3618904425894346e7,167555.49023521575,76837.47422917755,6915.629210672943,3877.941819879349,25625.287886786286,0.0,857.3972912687805,6777.138444313843,12280.719712831375,19360.87907968845,53.90735399487142,1.1281160730939435,1.0944305914264472,0.8234610248894029,0.18065290826990593,0.12630320343292517
"(1, 1, 1, 1, 4)",4000.0,-1.0,eng,0.0,0.3263157894736842,3.600814339043291,458758.97677527874,12.406528250803442,1.0967748637555896,6,0.6458716344098987,18.389599999999994,30.591781096726383,0.0,37.17815854326233,2.3606780445939105e7,164355.22880025677,76495.59294019952,6913.637575447309,3871.195000149599,25623.5780766865,0.0,893.2943481104849,6702.996492133851,12206.453106342327,19338.347003007955,53.85931466461187,1.1280521796385723,1.0934899727150083,0.8228786857681873,0.18062047513632895,0.12616765092697635
"(1, 1, 1, 1, 5)",4000.0,-1.0,eng,0.0,0.3684210526315789,3.599000920563792,458360.3488264945,12.396377199928049,1.0962338125584294,6,0.6453928586185829,18.389599999999994,30.578549086334927,0.0,37.17587443246154,2.3595041741200384e7,161164.7529296188,76157.29299471616,6911.746014167238,3864.6737096342463,25621.92546219757,0.0,934.7042750595818,6629.190415560845,12132.94651075798,19316.50970366084,53.812732683496165,1.1279903689647899,1.0925780137325085,0.8223154588646423,0.1805896684285812,0.12603654349320353
"(1, 1, 1, 1, 6)",4000.0,-1.0,eng,0.0,0.4105263157894737,3.5972521841470857,457975.2327252479,12.3867549089844,1.0957124318676643,6,0.6449312474639398,18.389599999999994,30.565760156945302,0.0,37.173673412349245,2.358372058768297e7,157984.52653725573,75822.79087747897,6909.962735050075,3858.396011805725,25620.33476237907,0.0,982.1702436527685,6555.732785613451,12060.23888558843,19295.42389849582,53.767729676882226,1.1279308138010924,1.0916971087919536,0.821772952016785,0.18056062235929793,0.12591025323497357
"(1, 1, 1, 1, 7)",4000.0,-1.0,eng,0.0,0.45263157894736844,3.595573838540217,457604.8176370883,12.37770847321758,1.0952124540277213,6,0.6444882889282191,18.389599999999994,30.553454382388065,0.0,37.17156279228559,2.3572853780531142e7,154815.08323028867,75492.33485956947,6908.297129102047,3852.3825858942764,25618.81135401843,0.0,1036.3123462979538,6482.638088232931,11988.375039719585,19275.154434577016,53.72444461767838,1.1278737110914565,1.0908499937264575,0.8212530028194959,0.18053349043689967,0.12578920553766995
"(1, 1, 1, 1, 8)",4000.0,-1.0,eng,0.0,0.49473684210526314,3.5939724517373004,457250.4710404519,12.369292075606824,1.0947358803349643,6,0.6440657056781743,18.389599999999994,30.541677805001363,0.0,37.16955101619534,2.3562483808869947e7,151657.0396394837,75166.21143331118,6906.760044230126,3846.657243620459,25617.36145985299,0.0,1097.8415531791395,6409.923108348592,11917.406817264333,19255.77593122878,53.68303730974584,1.127819288422357,1.090039814363293,0.8207577235490032,0.18050844991237952,0.1256738895266306
"(1, 1, 1, 1, 9)",4000.0,-1.0,eng,0.0,0.5368421052631579,3.5924555902715936,456913.7692180011,12.361568189574392,1.0942850152769612,6,0.6436654825072082,18.389599999999994,30.530483442156516,0.0,37.167647799183854,2.3552659620923914e7,148511.11008754605,74844.75176405156,6905.363971776607,3841.2474865089694,25615.99223931018,0.0,1167.5767413939564,6337.607311640321,11847.394270592189,19237.37442658379,53.643691909650904,1.1277678077125965,1.089270195779152,0.8202895470144644,0.18048570474086778,0.12556486930645336
"(1, 1, 1, 1, 10)",4000.0,-1.0,eng,0.0,0.5789473684210527,3.5911906462177328,456629.58836731454,12.355922372754112,1.093910769844491,6,0.6433316756931858,18.389599999999994,30.52103211378539,0.0,37.166068044242834,2.354446176552801e7,145396.62297201387,74535.85875383124,6904.3895678251065,3836.772501821644,25614.86279847442,0.0,1263.0480378324903,6266.2087474761,11779.851273177796,19221.86947811951,53.6104840718814,1.127725080267485,1.0886213430681402,0.8199022222879039,0.18046982849633453,0.12547464262944247
