index,sigma_fcs,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length,P_prop_max
"(1, 9, 8, 10, 1, 1, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.2,0.0,0.0,1.0,false,5.685123601778375,1.0116483423597213e6,36.36828111505379,1.2160187650206056,7,0.44479550639910376,9.330901123860452,25.14600000000001,5.808522537665903,40.761561667830904,31.24200000000001,0.0,49.73754899632504,3.818966744299648e7
"(1, 9, 8, 10, 1, 2, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,5.695495093483848,1.0129335188828548e6,36.43694285035121,1.2181851860633095,7,0.637193825501985,9.336436384420152,25.14600000000001,5.812205532046093,40.78740724242873,31.24200000000001,0.0,49.75498280766549,3.825781177034341e7
"(1, 9, 8, 10, 1, 3, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,5.708088330353733,1.014497805938706e6,36.52057359661491,1.2208158528625608,7,0.8751533137985068,9.343168944775755,25.14600000000001,5.816685173372195,40.818843321910144,31.24200000000001,0.0,49.77615297710896,3.8340555504856385e7
"(1, 9, 8, 10, 1, 4, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.3,0.0,0.0,1.0,false,5.71945898606886,1.0159137822310162e6,36.596329479933644,1.2231913033376018,7,1.0940320176617042,9.349258626488098,25.14600000000001,5.820737062760563,40.847277633407465,31.24200000000001,0.0,49.7952697165103,3.841526860782968e7
"(1, 9, 8, 10, 1, 5, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,5.7231808906618555,1.0163779875290489e6,36.62117604796947,1.2239688723703985,7,1.1664948926935585,9.351254090208927,25.14600000000001,5.822064783757692,40.85659497373819,31.24200000000001,0.0,49.8015273865492,3.84397242392825e7
"(1, 9, 8, 10, 1, 6, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,5.741129266689313,1.0186215254921011e6,36.741339298447535,1.2277188367825298,7,1.521503455287029,9.360891773963322,25.14600000000001,5.82847740602229,40.90159583173537,31.24200000000001,0.0,49.83170669035756,3.855766142983656e7
"(1, 9, 8, 10, 1, 7, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,5.7623929527282955,1.0212899701392769e6,36.88442859552141,1.2321619506474988,7,1.9537748164996473,9.3723406901469,25.14600000000001,5.836095167374008,40.95505380613339,31.24200000000001,0.0,49.86746562298003,3.869738909955691e7
"(1, 9, 8, 10, 1, 8, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,5.787568339195427,1.0244637524479419e6,37.054853174129164,1.237423345327277,7,2.4814545780630866,9.385937948620045,25.14600000000001,5.8451423704825975,41.01854295075508,31.24200000000001,0.0,49.909811935611394,3.886282842355506e7
"(1, 9, 8, 10, 1, 9, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,5.817437323887252,1.0282490778708135e6,37.258453547891946,1.2436667161190902,7,3.12908734517442,9.40212723124895,25.14600000000001,5.855914227795996,41.09413493190173,31.24200000000001,0.0,49.96006406371095,3.9059122233132e7
"(1, 9, 8, 10, 1, 10, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,5.853041855701709,1.0327887621701864e6,37.50311187137666,1.25111108498164,7,3.930445268554984,9.42150291624229,25.14600000000001,5.868806220534753,41.184605056384235,31.24200000000001,0.0,50.01998621062091,3.929312385349982e7
"(1, 9, 8, 10, 1, 11, 1, 7, 2, 1)",2000.0,nacelle,2.54,10.1,1.0,2,0.525,0.0,0.0,1.0,false,5.895792504291627,1.0382778178535216e6,37.7996380495399,1.260051717174056,7,4.932973819316294,9.44487293950212,25.14600000000001,5.884355924727092,41.29372578755854,31.24200000000001,0.0,50.09195697237805,3.9574111682023935e7
