index,sigma_fcs,span_loc,fcs_loc,wing_frac,nacelle_frac,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,L_fuse,span,Vol_fuse,length,P_prop_max,Wfuse,Wwing,Whtail,Wvtail,Wfuseshell,Wfusebendv,Wfusebendh,Wwingcentre,Wwinginboard,Wwingoutboard,CLS,CDfuseS,CDiS,CDwingS,CDhtailS,CDvtailS
"(5, 1, 1, 1, 1)",2026.3157894736842,-1.0,-1.0,1.0,1.0,3.441255375215525,423431.9641165193,11.08131115437566,1.0493757808998687,6,0.6041940735487501,18.389599999999994,29.39602063221976,0.0,36.97827417541269,2.2573252439370595e7,114616.00477695742,66188.30000747867,6734.688416100448,3325.110940914455,25481.225026116375,20.597271756533594,2863.4354331968375,5505.291069397426,10160.149011711574,17428.709664405567,49.731136478996774,1.122668304206173,1.0127050254114873,0.7738024460280585,0.17769193335492475,0.11487460222618168
"(6, 1, 1, 1, 1)",2157.8947368421054,-1.0,-1.0,1.0,1.0,3.422129369066402,418182.23225310433,10.874332579162617,1.044205396852032,6,0.5992265581211833,18.389599999999994,29.214162678204765,0.0,36.956498851002976,2.244770861577356e7,114452.35634290197,65311.92501914089,6770.654479220505,3265.1521473626635,25468.232585365626,12.006975832755938,2759.9996372835058,5498.206755061607,10001.326757884439,17156.429473500986,49.11771825049368,1.122084541269176,1.0009152066338247,0.7689611923277223,0.17828283757376878,0.11359276766590799
"(7, 1, 1, 1, 1)",2289.4736842105262,-1.0,-1.0,1.0,1.0,3.4057874799228856,413615.48662263114,10.695247451052595,1.039817895497041,6,0.5949902723410908,18.389599999999994,29.055038197563704,0.0,36.938024566013304,2.2340230531314548e7,114312.987343384,64554.88246866451,6804.645569619347,3213.2553853656395,25457.492477411466,4.67295596153519,2671.9759411926866,5492.536817175257,9864.061292852202,16920.84353873815,48.58410407484651,1.121589649785354,0.9906780504109475,0.7649544292254044,0.1788402168753958,0.11247598493664251
"(8, 1, 1, 1, 1)",2421.0526315789475,-1.0,-1.0,1.0,1.0,3.3916971410948538,409609.29833333474,10.53888355841007,1.0360590222657204,6,0.5913434044584737,18.389599999999994,28.91472457435169,0.0,36.92220058604891,2.2247445805321157e7,114194.66290615017,63895.079134847816,6836.6993935116,3167.950916393342,25448.530486134307,0.0,2596.197396264779,5487.998144510612,9744.371460611466,16715.17031461851,48.115988965207364,1.1211660219655872,0.9817129020878524,0.7616095149400225,0.17936487736756632,0.11149539880103786
"(9, 1, 1, 1, 1)",2552.6315789473683,-1.0,-1.0,1.0,1.0,3.379490398869877,406075.66016415856,10.401524256653335,1.0328667385709565,6,0.5881879988308055,18.389599999999994,28.790393357112496,0.0,36.90876704406065,2.2166920303138554e7,114096.40134617884,63317.105249492386,6867.1076724789145,3128.196856419483,25441.212534117112,0.0,2530.423536958423,5484.486701738822,9639.488281087315,16534.57910508832,47.70308807856293,1.1208065781836074,0.9738183913799234,0.7588056883565387,0.17986175130986762,0.11063050869762858
"(10, 1, 1, 1, 1)",2684.2105263157896,-1.0,-1.0,1.0,1.0,3.3687759663737076,402925.95892356185,10.279548927671755,1.0300856485279353,6,0.5854213834731546,18.389599999999994,28.67911750449974,0.0,36.897060577644055,2.209615405176227e7,114010.24765221968,62804.54997509881,6895.715626912194,3092.8899764273183,25435.010968226838,0.0,2472.726461834701,5481.617481151758,9546.431956930537,16374.225847837904,47.33505256463582,1.1204934849219124,0.9667919372838337,0.7564219706287894,0.18032846528516716,0.10985883665410062
"(11, 1, 1, 1, 1)",2815.7894736842104,-1.0,-1.0,1.0,1.0,3.359301501717874,400100.40810321295,10.170494424547943,1.0276411042369213,6,0.5829772219832736,18.389599999999994,28.578924348186522,0.0,36.88677324820985,2.2033508276677046e7,113934.1006663847,62346.88596192359,6922.5938758991215,3061.3136499911825,25429.706172587074,0.0,2421.7075095084906,5479.258325921012,9463.30242916927,16230.881685245387,47.00489150726565,1.1202184519330294,0.9604970233476153,0.754379840626592,0.18076629889099374,0.1091658329836549
"(12, 1, 1, 1, 1)",2947.3684210526317,-1.0,-1.0,1.0,1.0,3.3508691974672,397551.25670618325,10.072406675818103,1.0254777998513425,6,0.5808036320648248,18.389599999999994,28.488229403177606,0.0,36.87767364528978,2.19776943210599e7,113866.33849989522,61935.75918392885,6947.8526278143,3032.903814999061,25425.138610627495,0.0,2376.279427203694,5477.309958283504,9388.592474069139,16101.977469219391,46.70702574190215,1.1199752536469725,0.9548249010235348,0.7526185408447882,0.18117717166745723,0.10853997782131673
"(13, 1, 1, 1, 1)",3078.9473684210525,-1.0,-1.0,1.0,1.0,3.3433217693902737,395239.712189541,9.983708608866221,1.0235521235305012,6,0.5788594384163701,18.389599999999994,28.405738072762983,0.0,36.869572861478815,2.1927686251355108e7,113805.66723681876,61564.40166358356,6971.629536348075,3007.2098828881926,25421.1794757643,0.0,2335.5784963309875,5475.692262758015,9321.080530002506,15985.42855054108,46.436924970152674,1.1197588129831866,0.9496874925140862,0.7510910088521507,0.18156343300016664,0.10797201612561315
"(14, 1, 1, 1, 1)",3210.5263157894738,-1.0,-1.0,1.0,1.0,3.3365306406404476,393133.9454777081,9.90311079941662,1.0218284905727286,6,0.5771110654865842,18.389599999999994,28.330380960902698,0.0,36.862321844874145,2.1882645052244976e7,113751.04373982515,61227.31830387433,6994.030003553628,2983.858869653509,25417.72874688483,0.0,2298.907956396492,5474.345231724341,9259.774178246329,15879.539566457386,46.19086828588178,1.1195651265252688,0.9450125017032677,0.7497590175964682,0.1819268822072555,0.10745422785493577
