index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle
"(1, 1, 1, 1, 1, 1, 1, 1)",nacelle,2.54,10.1,1.0,2,0.2,500000.0,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224
"(1, 1, 1, 1, 1, 2, 1, 1)",nacelle,2.54,10.1,1.0,2,0.23684210526315788,500000.0,0.0,4.736872116379374,758443.2704116687,23.734880687523287,1.0135248985207952,7,0.48898605624122415
"(1, 1, 1, 1, 1, 3, 1, 1)",nacelle,2.54,10.1,1.0,2,0.2736842105263158,500000.0,0.0,4.747345221154371,759640.015979078,23.79035245076122,1.0157091580845452,7,0.6751402296153299
"(1, 1, 1, 1, 1, 4, 1, 1)",nacelle,2.54,10.1,1.0,2,0.3105263157894737,500000.0,0.0,4.759928935070525,761082.1400185943,23.85725426027375,1.0183336347747427,7,0.903877753621646
"(1, 1, 1, 1, 1, 5, 1, 1)",nacelle,2.54,10.1,1.0,2,0.3473684210526316,500000.0,0.0,4.774928612012355,762807.0359177627,23.93735484081433,1.0214620088393276,7,1.1836058695080511
"(1, 1, 1, 1, 1, 6, 1, 1)",nacelle,2.54,10.1,1.0,2,0.38421052631578945,500000.0,0.0,4.7927393249613885,764863.4033276739,24.032962992760005,1.025176738586883,7,1.5254994226427727
"(1, 1, 1, 1, 1, 7, 1, 1)",nacelle,2.54,10.1,1.0,2,0.42105263157894735,500000.0,0.0,4.813875204692066,767315.0075403393,24.14711009191665,1.029585035996736,7,1.944562575555208
"(1, 1, 1, 1, 1, 8, 1, 1)",nacelle,2.54,10.1,1.0,2,0.45789473684210524,500000.0,0.0,4.839013837032723,770246.5747057163,24.283836740754765,1.0348282850277866,7,2.4612284323993276
"(1, 1, 1, 1, 1, 9, 1, 1)",nacelle,2.54,10.1,1.0,2,0.49473684210526314,500000.0,0.0,4.869061031272335,773772.3253074395,24.448610601692387,1.0410954122839975,7,3.1038265413836306
"(1, 1, 1, 1, 1, 10, 1, 1)",nacelle,2.54,10.1,1.0,2,0.531578947368421,500000.0,0.0,4.9052522741367035,778049.6640288293,24.648999546107667,1.0486444480569717,7,3.9125097949373675
"(1, 1, 1, 1, 1, 11, 1, 1)",nacelle,2.54,10.1,1.0,2,0.5684210526315789,500000.0,0.0,4.94931422138866,783301.230917977,24.895763288499023,1.0578378422981765,7,4.94572316325542
"(1, 1, 1, 1, 1, 12, 1, 1)",nacelle,2.54,10.1,1.0,2,0.6052631578947368,500000.0,0.0,5.003719917327258,789849.4297904539,25.20458290174501,1.0691897588937795,7,6.291295774553854
"(1, 1, 1, 1, 1, 13, 1, 1)",nacelle,2.54,10.1,1.0,2,0.6421052631578947,500000.0,0.0,5.072153114872371,798181.8784632491,25.599356183230373,1.083468829779148,7,8.086480878418584
"(1, 1, 1, 1, 1, 14, 1, 1)",nacelle,2.54,10.1,1.0,2,0.6789473684210526,500000.0,0.0,5.160342927812443,809069.9772393154,26.118245926933334,1.1018707302143946,7,10.556357107208463
"(1, 1, 1, 1, 1, 15, 1, 1)",nacelle,2.54,10.1,1.0,2,0.7157894736842105,500000.0,0.0,5.277712580484814,823808.2402117043,26.82606746107382,1.1263623142267942,7,14.09320466657264
"(1, 1, 1, 1, 1, 16, 1, 1)",nacelle,2.54,10.1,1.0,2,0.7526315789473684,500000.0,0.0,5.440947613509022,844745.0736799089,27.842265737906,1.160427353284158,7,19.43726069389594
"(1, 1, 1, 1, 1, 17, 1, 1)",nacelle,2.54,10.1,1.0,2,0.7894736842105263,500000.0,0.0,5.68274605598032,876623.187208379,29.413310920994245,1.2108947420048422,7,28.14543471603385
"(1, 1, 1, 1, 1, 18, 1, 1)",nacelle,2.54,10.1,1.0,2,0.8263157894736842,500000.0,0.0,6.07758977810138,930677.4147095827,32.14171068601955,1.2933355279767904,7,44.056248054401074
"(1, 1, 1, 1, 1, 19, 1, 1)",nacelle,2.54,10.1,1.0,2,0.8631578947368421,500000.0,0.0,6.844304253382375,1.0417796339741487e6,37.995982392775744,1.4536130988914948,7,79.48750426517796
"(1, 1, 1, 1, 1, 20, 1, 1)",nacelle,2.54,10.1,1.0,2,0.9,500000.0,0.0,9.17383720041118,1.4180495917205797e6,60.09606658189729,1.943089607595417,7,207.27418113385434
"(1, 1, 1, 1, 2, 1, 1, 1)",nacelle,2.54,10.1,1.0,4,0.2,500000.0,0.0,4.728518565958739,753507.2258264873,23.50094501480814,1.0108645611882847,7,0.23947366054583055
"(1, 1, 1, 1, 2, 2, 1, 1)",nacelle,2.54,10.1,1.0,4,0.23684210526315788,500000.0,0.0,4.737134098463604,754421.9700881224,23.543182125983783,1.01265754380021,7,0.34537103864096635
"(1, 1, 1, 1, 2, 3, 1, 1)",nacelle,2.54,10.1,1.0,4,0.2736842105263158,500000.0,0.0,4.747622290586226,755537.8297730945,23.594738863297636,1.014840252568463,7,0.47685328386979864
"(1, 1, 1, 1, 2, 4, 1, 1)",nacelle,2.54,10.1,1.0,4,0.3105263157894737,500000.0,0.0,4.760217589991235,756881.1659934493,23.656854822780076,1.0174615034326777,7,0.6384122783104595
"(1, 1, 1, 1, 2, 5, 1, 1)",nacelle,2.54,10.1,1.0,4,0.3473684210526316,500000.0,0.0,4.775221868794528,758486.0422216207,23.731133555199946,1.0205841253005696,7,0.8359846357933818
"(1, 1, 1, 1, 2, 6, 1, 1)",nacelle,2.54,10.1,1.0,4,0.38421052631578945,500000.0,0.0,4.793024926381224,760396.7002526058,23.81966451856981,1.0242892568420507,7,1.0774597638022807
"(1, 1, 1, 1, 2, 7, 1, 1)",nacelle,2.54,10.1,1.0,4,0.42105263157894735,500000.0,0.0,4.814133722391347,762671.0000982197,23.925184778090657,1.0286824298599597,7,1.3734283469976885
"(1, 1, 1, 1, 2, 8, 1, 1)",nacelle,2.54,10.1,1.0,4,0.45789473684210524,500000.0,0.0,4.839215875850689,765385.7653468881,24.051340753074353,1.0339034487763108,7,1.7383089782150116
"(1, 1, 1, 1, 2, 9, 1, 1)",nacelle,2.54,10.1,1.0,4,0.49473684210526314,500000.0,0.0,4.869161715786911,768644.146850918,24.203045051227434,1.0401381734385007,7,2.192085027076499
"(1, 1, 1, 1, 2, 10, 1, 1)",nacelle,2.54,10.1,1.0,4,0.531578947368421,500000.0,0.0,4.905179422685884,772587.1010940467,24.387039113607184,1.0476371311759507,7,2.7630626491626535
"(1, 1, 1, 1, 2, 11, 1, 1)",nacelle,2.54,10.1,1.0,4,0.5684210526315789,500000.0,0.0,4.948951988488276,777413.0998018729,24.61285909734655,1.0567506914705933,7,3.4924118007510225
"(1, 1, 1, 1, 2, 12, 1, 1)",nacelle,2.54,10.1,1.0,4,0.6052631578947368,500000.0,0.0,5.0028885975047315,783409.4405107282,24.894392014764062,1.0679804604786391,7,4.441947682082947
"(1, 1, 1, 1, 2, 13, 1, 1)",nacelle,2.54,10.1,1.0,4,0.6421052631578947,500000.0,0.0,5.070558590326944,791007.300144547,25.252623489006794,1.0820695611070497,7,5.708139149780517
"(1, 1, 1, 1, 2, 14, 1, 1)",nacelle,2.54,10.1,1.0,4,0.6789473684210526,500000.0,0.0,5.157481920220323,800883.6178880921,25.720789958144238,1.1001670899027245,7,7.448879355996185
"(1, 1, 1, 1, 2, 15, 1, 1)",nacelle,2.54,10.1,1.0,4,0.7157894736842105,500000.0,0.0,5.272673936679226,814164.0648742425,26.354766956143685,1.1241502511787786,7,9.93858174775956
"(1, 1, 1, 1, 2, 16, 1, 1)",nacelle,2.54,10.1,1.0,4,0.7526315789473684,500000.0,0.0,5.431937814367203,832865.2358243194,27.256099938713838,1.1573082315359546,7,13.692796547882203
"(1, 1, 1, 1, 2, 17, 1, 1)",nacelle,2.54,10.1,1.0,4,0.7894736842105263,500000.0,0.0,5.665796483916618,860990.6597020956,28.630356798432928,1.2059958106799573,7,19.787976583763026
"(1, 1, 1, 1, 2, 18, 1, 1)",nacelle,2.54,10.1,1.0,4,0.8263157894736842,500000.0,0.0,6.042131109907015,907773.7605386066,30.965239268725824,1.2843608080000704,7,30.842180665370737
"(1, 1, 1, 1, 2, 19, 1, 1)",nacelle,2.54,10.1,1.0,4,0.8631578947368421,500000.0,0.0,6.75068989945844,1.0003923262692571e6,35.76313622167798,1.4319417733591515,7,54.99352781626815
"(1, 1, 1, 1, 2, 20, 1, 1)",nacelle,2.54,10.1,1.0,4,0.9,500000.0,0.0,8.658718384264336,1.2743105046744072e6,51.23302971500044,1.830182881852049,7,134.29925529620573
"(1, 1, 1, 1, 3, 1, 1, 1)",nacelle,2.54,10.1,1.0,6,0.2,500000.0,0.0,4.733333525867777,752186.4913938505,23.438279402238805,1.0121780845899662,7,0.19595227222880668
