index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles
"(1, 1, 1, 1, 1, 1, 1, 1)",fuselage,2.54,10.1,1.0,2,0.2,500000.0,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
"(1, 1, 1, 1, 1, 1, 1, 2)",fuselage,2.54,10.1,1.0,2,0.2,500000.0,1.0,4.836013447679218,771448.3271693888,24.352856799892145,1.035528821343907,7,0.3504289193060919,8.230151192577965,27.119525241389997,5.076116941365106
"(1, 1, 1, 1, 1, 1, 2, 1)",fuselage,2.54,10.1,1.0,2,0.2,242105.26315789475,0.0,4.937632317842295,784791.9573643759,24.99099529891953,1.0579970920058337,7,0.3612717540134557,8.2965587613012,28.956000000000014,5.120302522110916
"(1, 1, 1, 1, 1, 1, 2, 2)",fuselage,2.54,10.1,1.0,2,0.2,242105.26315789475,1.0,4.952483284545396,786751.621419865,25.085137210606085,1.061280137905946,7,0.3628656375382964,8.30626092905663,29.22175865069672,5.1267580500727
"(1, 1, 1, 1, 1, 1, 3, 1)",fuselage,2.54,10.1,1.0,2,0.2,284210.5263157895,0.0,4.937632317842295,784791.9573643759,24.99099529891953,1.0579970920058337,7,0.3612717540134557,8.2965587613012,28.956000000000014,5.120302522110916
"(1, 1, 1, 1, 1, 1, 3, 2)",fuselage,2.54,10.1,1.0,2,0.2,284210.5263157895,1.0,4.918806009431673,782310.4169844511,24.8719377870352,1.0538345418423907,7,0.3592546003138026,8.284254364578798,28.61794255429721,5.112115549972664
"(1, 1, 1, 1, 1, 1, 4, 1)",fuselage,2.54,10.1,1.0,2,0.2,326315.7894736842,0.0,4.937632317842295,784791.9573643759,24.99099529891953,1.0579970920058337,7,0.3612717540134557,8.2965587613012,28.956000000000014,5.120302522110916
"(1, 1, 1, 1, 1, 1, 4, 2)",fuselage,2.54,10.1,1.0,2,0.2,326315.7894736842,1.0,4.8939488304243834,779039.8759198142,24.715291730413888,1.0483377732341708,7,0.35659708357834147,8.26800613372995,28.169949966645955,5.101304470302807
"(1, 1, 1, 1, 1, 1, 5, 1)",fuselage,2.54,10.1,1.0,2,0.2,368421.05263157893,0.0,4.937632317842295,784791.9573643759,24.99099529891953,1.0579970920058337,7,0.3612717540134557,8.2965587613012,28.956000000000014,5.120302522110916
"(1, 1, 1, 1, 1, 1, 5, 2)",fuselage,2.54,10.1,1.0,2,0.2,368421.05263157893,1.0,4.874836198173517,776530.3061005354,24.59529871207399,1.0441108857300128,7,0.3545582354208223,8.255513931113194,27.824355684743562,5.092992537822397
"(1, 1, 1, 1, 1, 1, 6, 1)",fuselage,2.54,10.1,1.0,2,0.2,410526.3157894737,0.0,4.937632317842295,784791.9573643759,24.99099529891953,1.0579970920058337,7,0.3612717540134557,8.2965587613012,28.956000000000014,5.120302522110916
"(1, 1, 1, 1, 1, 1, 6, 2)",fuselage,2.54,10.1,1.0,2,0.2,410526.3157894737,1.0,4.859679697440899,774543.602371373,24.500433439970386,1.040758724728597,7,0.3529442019323939,8.245609352768565,27.54965253759038,5.086402331997761
"(1, 1, 1, 1, 1, 1, 7, 1)",fuselage,2.54,10.1,1.0,2,0.2,452631.5789473684,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085
