index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,thetafloor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span
"(1, 9, 8, 10, 1, 1, 1, 7, 1, 1)",fuselage,2.54,10.1,1.0,2,0.2,0.0,0.0,0.0,false,4.937632317842295,784791.9573643759,24.99099529891953,1.0579970920058337,7,0.3612717540134557,8.2965587613012,28.956000000000014,5.120302522110916,35.93194752358538
"(1, 1, 8, 10, 1, 4, 1, 7, 2, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,0.0,1.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523
"(1, 1, 8, 10, 1, 4, 1, 2, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,-8.333333333333334,0.0,false,4.966899164585642,788165.2472128656,25.1501651813985,1.0641180103107768,7,0.8884270544759384,8.313027894878092,28.956000000000014,5.131260583751571,36.008846201765415
"(1, 1, 8, 10, 1, 4, 1, 3, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,-6.666666666666667,0.0,false,4.966899164585642,788165.2472128656,25.1501651813985,1.0641180103107768,7,0.8884270544759384,8.313027894878092,28.956000000000014,5.131260583751571,36.008846201765415
"(1, 1, 8, 10, 1, 4, 1, 4, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,-5.0,0.0,false,4.966899164585642,788165.2472128656,25.1501651813985,1.0641180103107768,7,0.8884270544759384,8.313027894878092,28.956000000000014,5.131260583751571,36.008846201765415
"(1, 1, 8, 10, 1, 4, 1, 5, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,-3.3333333333333335,0.0,false,4.966899164585642,788165.2472128656,25.1501651813985,1.0641180103107768,7,0.8884270544759384,8.313027894878092,28.956000000000014,5.131260583751571,36.008846201765415
"(1, 1, 8, 10, 1, 4, 1, 6, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,-1.6666666666666667,0.0,false,4.966899164585642,788165.2472128656,25.1501651813985,1.0641180103107768,7,0.8884270544759384,8.313027894878092,28.956000000000014,5.131260583751571,36.008846201765415
"(1, 1, 8, 10, 1, 4, 1, 7, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,0.0,0.0,false,4.966899164585642,788165.2472128656,25.1501651813985,1.0641180103107768,7,0.8884270544759384,8.313027894878092,28.956000000000014,5.131260583751571,36.008846201765415
"(1, 1, 8, 10, 1, 4, 1, 8, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,1.6666666666666667,0.0,false,4.966899164585642,788165.2472128656,25.1501651813985,1.0641180103107768,7,0.8884270544759384,8.313027894878092,28.956000000000014,5.131260583751571,36.008846201765415
"(1, 1, 8, 10, 1, 4, 1, 9, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,3.3333333333333335,0.0,false,4.966899164585642,788165.2472128656,25.1501651813985,1.0641180103107768,7,0.8884270544759384,8.313027894878092,28.956000000000014,5.131260583751571,36.008846201765415
"(1, 1, 8, 10, 1, 4, 1, 10, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,5.0,0.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523
"(1, 1, 8, 10, 1, 4, 1, 11, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,6.666666666666667,0.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523
"(1, 1, 8, 10, 1, 4, 1, 12, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,8.333333333333334,0.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523
"(1, 1, 8, 10, 1, 4, 1, 13, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,10.0,0.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523
"(1, 1, 8, 10, 1, 4, 1, 14, 1, 1)",fuselage,2.54,10.1,1.0,2,0.3,0.0,11.666666666666666,0.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523
