index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span
"(1, 1, 1, 1, 1, 1, 1, 1)",nacelle,2.54,10.1,1.0,2,0.2,500000.0,0.0,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085,35.29382672340351
"(1, 1, 1, 1, 1, 2, 1, 1)",nacelle,2.54,10.1,1.0,2,0.23421052631578948,500000.0,0.0,4.736198197742902,758366.3742682583,23.73131783133241,1.013384351122764,7,0.4771402774133649,8.164388262206273,25.14600000000001,5.032360283413513,35.31480900641062
"(1, 1, 1, 1, 1, 3, 1, 1)",nacelle,2.54,10.1,1.0,2,0.26842105263157895,500000.0,0.0,4.745726019195909,759454.7822638875,23.781763696022026,1.0153714549656776,7,0.6461074299053797,8.16979902834374,25.14600000000001,5.035960442983577,35.34007328409528
"(1, 1, 1, 1, 1, 4, 1, 1)",nacelle,2.54,10.1,1.0,2,0.3026315789473684,500000.0,0.0,4.757040639538027,760750.7321158472,23.841874426364186,1.0177312454534895,7,0.8508928461466593,8.176236402321416,25.14600000000001,5.040243676252772,35.37013106142297
"(1, 1, 1, 1, 1, 5, 1, 1)",nacelle,2.54,10.1,1.0,2,0.3368421052631579,500000.0,0.0,4.7703753579074295,762282.7576485258,23.91299915741636,1.0205123625516324,7,1.0978898647984066,8.183839253143459,25.14600000000001,5.045302382441755,35.405630753977235
"(1, 1, 1, 1, 1, 6, 1, 1)",nacelle,2.54,10.1,1.0,2,0.37105263157894736,500000.0,0.0,4.786026290235237,764087.3006757714,23.99686444567766,1.0237766103941983,7,1.395411736981975,8.192784556579713,25.14600000000001,5.051254315856541,35.4473987077652
"(1, 1, 1, 1, 1, 7, 1, 1)",nacelle,2.54,10.1,1.0,2,0.4052631578947368,500000.0,0.0,4.804370751723775,766211.0584137382,24.09568811628831,1.027602695547846,7,1.7543524110997208,8.203298515270566,25.14600000000001,5.058249984868743,35.49649112188592
"(1, 1, 1, 1, 1, 8, 1, 1)",nacelle,2.54,10.1,1.0,2,0.4394736842105263,500000.0,0.0,4.825893893401063,768714.4807306856,24.212349180006406,1.0320918068394214,7,2.1891466176999055,8.215673091499701,25.14600000000001,5.066483652320814,35.55427124435659
"(1, 1, 1, 1, 1, 9, 1, 1)",nacelle,2.54,10.1,1.0,2,0.47368421052631576,500000.0,0.0,4.851227069219632,771676.8513477914,24.35063582502091,1.0373756548841284,7,2.7191932407693513,8.230289918803273,25.14600000000001,5.076209245585057,35.622521021649526
"(1, 1, 1, 1, 1, 10, 1, 1)",nacelle,2.54,10.1,1.0,2,0.5078947368421053,500000.0,0.0,4.881204115701728,775203.7962582035,24.515613783975105,1.0436282195588562,7,3.371016232666029,8.247655431887987,25.14600000000001,5.087763730944925,35.703605129438074
"(1, 1, 1, 1, 1, 11, 1, 1)",nacelle,2.54,10.1,1.0,2,0.5421052631578948,500000.0,0.0,4.916947267336821,779438.9252113156,24.714200420970556,1.0510845005785536,7,4.181638414802598,8.268455051296655,25.14600000000001,5.101603166426957,35.80072397492602
"(1, 1, 1, 1, 1, 12, 1, 1)",nacelle,2.54,10.1,1.0,2,0.5763157894736842,500000.0,0.0,4.95999873465338,784581.7239649893,24.95605420707833,1.0600671810178324,7,5.204021258342917,8.29363573489437,25.14600000000001,5.11835762905423,35.918299151257756
"(1, 1, 1, 1, 1, 13, 1, 1)",nacelle,2.54,10.1,1.0,2,0.6105263157894737,500000.0,0.0,5.012531013738996,790916.3697926269,25.25501941724483,1.0710282387950367,7,6.516169489631897,8.324537673026322,25.14600000000001,5.138918840807397,36.062588356543145
"(1, 1, 1, 1, 1, 14, 1, 1)",nacelle,2.54,10.1,1.0,2,0.6447368421052632,500000.0,0.0,5.077712099312623,798863.2971633696,25.631729560012495,1.0846287730006927,7,8.237098319874985,8.363128634280756,25.14600000000001,5.164596095182916,36.24277961531871
"(1, 1, 1, 1, 1, 15, 1, 1)",nacelle,2.54,10.1,1.0,2,0.6789473684210526,500000.0,0.0,5.160342927812443,809069.9772393154,26.118245926933334,1.1018707302143946,7,10.556357107208463,8.412410315605584,25.14600000000001,5.1973866302278395,36.472888633177824
"(1, 1, 1, 1, 1, 16, 1, 1)",nacelle,2.54,10.1,1.0,2,0.7131578947368421,500000.0,0.0,5.2680665198261885,822586.7032315498,26.767164709670126,1.1243494118774813,7,13.792407372683282,8.4771947737237,25.14600000000001,5.240492242438727,36.77538415746475
"(1, 1, 1, 1, 1, 17, 1, 1)",nacelle,2.54,10.1,1.0,2,0.7473684210526316,500000.0,0.0,5.41384831868101,841235.3877234112,27.671048433993946,1.1547718563852931,7,18.518179887902093,8.565703615303649,25.14600000000001,5.299383339365464,37.18865501309098
"(1, 1, 1, 1, 1, 18, 1, 1)",nacelle,2.54,10.1,1.0,2,0.781578947368421,500000.0,0.0,5.621633510906909,868473.4867703508,29.00895806372688,1.1981385461162204,7,25.86255287919805,8.693226235238754,25.14600000000001,5.384233020333957,37.784091370764614
"(1, 1, 1, 1, 1, 19, 1, 1)",nacelle,2.54,10.1,1.0,2,0.8157894736842105,500000.0,0.0,5.94133593307417,911760.0477231076,31.177734411109654,1.2648812020987266,7,38.353450366551485,8.891825224590972,25.14600000000001,5.516374760330958,38.71140182688392
"(1, 1, 1, 1, 1, 20, 1, 1)",nacelle,2.54,10.1,1.0,2,0.85,500000.0,0.0,6.4987178312466884,990770.7590322772,35.267792201171055,1.381333692570873,7,62.8860505761483,9.24251250001382,25.14600000000001,5.749711429970285,40.348852140142355
"(1, 1, 1, 1, 2, 1, 1, 1)",nacelle,2.54,10.1,1.0,4,0.2,500000.0,0.0,4.728518565958739,753507.2258264873,23.50094501480814,1.0108645611882847,7,0.23947366054583055,8.140291023301549,25.14600000000001,8.610385526493037,35.202292715804894
"(1, 1, 1, 1, 2, 2, 1, 1)",nacelle,2.54,10.1,1.0,4,0.23421052631578948,500000.0,0.0,4.736459002908917,754350.2297875955,23.539868678753123,1.012517044746234,7,0.3370042662760927,8.14449685164579,25.14600000000001,8.62365694778477,35.221930824805256
"(1, 1, 1, 1, 2, 3, 1, 1)",nacelle,2.54,10.1,1.0,4,0.26842105263157895,500000.0,0.0,4.746001087837319,755365.1829728482,23.586759545508663,1.014502859987903,7,0.4563471720195846,8.149557378678448,25.14600000000001,8.639504592688496,35.245559744802094
"(1, 1, 1, 1, 2, 4, 1, 1)",nacelle,2.54,10.1,1.0,4,0.3026315789473684,500000.0,0.0,4.757327276001168,756572.5875486953,23.64258112786155,1.0168599888163055,7,0.6009887172550469,8.155572939882656,25.14600000000001,8.65817675469113,35.27364796832369
"(1, 1, 1, 1, 2, 5, 1, 1)",nacelle,2.54,10.1,1.0,4,0.3368421052631579,500000.0,0.0,4.770668283889742,757998.4557299457,23.708558419667206,1.0196364491283898,7,0.7754435881045233,8.16267066459105,25.14600000000001,8.679984181798472,35.30678909536677
"(1, 1, 1, 1, 2, 6, 1, 1)",nacelle,2.54,10.1,1.0,4,0.37105263157894736,500000.0,0.0,4.786316455359681,759675.9243315,23.786254355757816,1.022893103098803,7,0.9855812413025077,8.17101211336511,25.14600000000001,8.705316027170745,35.3457374943118
"(1, 1, 1, 1, 2, 7, 1, 1)",nacelle,2.54,10.1,1.0,4,0.4052631578947368,500000.0,0.0,4.8046438223340955,761647.3624211783,23.877672578786765,1.0267073745880295,7,1.2390916837734567,8.180803451360935,25.14600000000001,8.73466120503888,35.39145580401994
"(1, 1, 1, 1, 2, 8, 1, 1)",nacelle,2.54,10.1,1.0,4,0.4394736842105263,500000.0,0.0,4.8261283024194075,763967.5406018498,23.9854086802413,1.0311788368371457,7,1.5461619415577808,8.192310323306438,25.14600000000001,8.768638644924156,35.445184388979484
"(1, 1, 1, 1, 2, 9, 1, 1)",nacelle,2.54,10.1,1.0,4,0.47368421052631576,500000.0,0.0,4.851392597058446,766708.4911405816,24.11288692295431,1.0364386347942147,7,1.9204790946572352,8.205881132264096,25.14600000000001,8.808041841789777,35.50855003391796
"(1, 1, 1, 1, 2, 10, 1, 1)",nacelle,2.54,10.1,1.0,4,0.5078947368421053,500000.0,0.0,4.881252768299508,769964.9046703412,24.264626000997655,1.042655534984211,7,2.380747157760609,8.221972144990746,25.14600000000001,8.853894119390155,35.583683167271964
"(1, 1, 1, 1, 2, 11, 1, 1)",nacelle,2.54,10.1,1.0,4,0.5421052631578948,500000.0,0.0,4.916805588969707,773865.3053912448,24.44678263021394,1.0500577212533644,7,2.9530595792412084,8.241199968677664,25.14600000000001,8.907544777394968,35.673462888767304
"(1, 1, 1, 1, 2, 12, 1, 1)",nacelle,2.54,10.1,1.0,4,0.5763157894736842,500000.0,0.0,4.959554070733599,778587.4972488296,24.667915469823114,1.0589580747955831,7,3.674714603917599,8.264413447513823,25.14600000000001,8.970805669961578,35.7818526732163
"(1, 1, 1, 1, 2, 13, 1, 1)",nacelle,2.54,10.1,1.0,4,0.6105263157894737,500000.0,0.0,5.0116122418430065,784384.311865469,24.94026226379983,1.0697967573707794,7,4.600597955143155,8.292812346510118,25.14600000000001,9.046169238927888,35.91445453623401
