index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length
"(1, 9, 8, 10, 1, 1, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.2,0.0,0.0,1.0,false,4.72827276230689,757463.0418245126,23.689476496949965,1.0117314473265842,7,0.33905483822427224,8.159894556595587,25.14600000000001,5.029370308085,35.29382672340351,31.24200000000001,0.0,48.09536187943791
"(1, 9, 8, 10, 1, 2, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.2361111111111111,0.0,0.0,1.0,false,4.736683954093132,758421.798119206,23.73388578653428,1.013485654567435,7,0.4856771708534328,8.164663884301726,25.14600000000001,5.032543673990643,35.31609595782908,31.24200000000001,0.0,48.10944534368995
"(1, 9, 8, 10, 1, 3, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.2722222222222222,0.0,0.0,1.0,false,4.746891169663088,759588.0660011653,23.787943577403837,1.0156144611191589,7,0.666989627749298,8.170461346319422,25.14600000000001,5.036401129263117,35.3431658193903,31.24200000000001,0.0,48.12653673767583
"(1, 9, 8, 10, 1, 4, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.3,0.0,0.0,1.0,false,4.756101861078885,760643.064209552,23.836878518815233,1.017535447178612,7,0.8337333341454904,8.175701795697819,25.14600000000001,5.039887965230845,35.36763484372523,31.24200000000001,0.0,48.14196008569035
"(1, 9, 8, 10, 1, 5, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.30833333333333335,0.0,0.0,1.0,false,4.759115678975885,760988.8015114316,23.852922319251967,1.0181640201368274,7,0.8889298677741103,8.177418358815872,25.14600000000001,5.041030114231574,35.375649924432096,31.24200000000001,0.0,48.147006912339045
"(1, 9, 8, 10, 1, 6, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.34444444444444444,0.0,0.0,1.0,false,4.7736413160778,762658.7525924059,23.930465421031066,1.0211935240790662,7,1.1593018436507656,8.18570398436839,25.14600000000001,5.046543118003871,35.414337670202606,31.24200000000001,0.0,48.17133152819655
"(1, 9, 8, 10, 1, 7, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.38055555555555554,0.0,0.0,1.0,false,4.7908333039990225,764642.9167844288,24.02270578351548,1.024779196839194,7,1.4884148488921032,8.195536642157611,25.14600000000001,5.053085470073743,35.4602489127982,31.24200000000001,0.0,48.200123154435836
"(1, 9, 8, 10, 1, 8, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.4166666666666667,0.0,0.0,1.0,false,4.81116417295024,766999.8678748959,24.132427217152276,1.02901959146336,7,1.890016626278164,8.207199860241873,25.14600000000001,5.060845821406072,35.5147075186391,31.24200000000001,0.0,48.234173899366745
"(1, 9, 8, 10, 1, 9, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.4527777777777778,0.0,0.0,1.0,false,4.835252272533601,769806.8437675196,24.263311811502113,1.0340437075148359,7,2.382684689978695,8.221066308224405,25.14600000000001,5.070072135044254,35.57945357925792,31.24200000000001,0.0,48.2745206800818
"(1, 9, 8, 10, 1, 10, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,2,0.4888888888888889,0.0,0.0,1.0,false,4.86391811134417,773167.2002741591,24.4203044724805,1.040022720445689,7,2.991949076084787,8.23763279796918,25.14600000000001,5.081094974524241,35.656806838766606,31.24200000000001,0.0,48.322539617890634
