index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,thetafloor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span
"(1, 9, 8, 10, 1, 1, 1, 7, 1, 1)",wing,2.54,10.1,1.0,2,0.2,0.0,0.0,0.0,false,4.937632317842295,784791.9573643759,24.99099529891953,1.0579970920058337,7,0.3612717540134557,8.2965587613012,28.956000000000014,5.120302522110916,35.93194752358538
"(1, 9, 1, 1, 1, 4, 1, 7, 1, 2)",wing,2.54,10.1,1.0,2,0.3,0.0,0.0,0.0,true,4.944951488319418,759742.1410076183,24.249852751291264,1.0591361236358703,7,0.8824743256071836,8.173477426544038,28.956000000000014,5.038407937505956,35.357248684252326
"(1, 9, 1, 2, 1, 4, 1, 7, 1, 1)",wing,2.54,10.1,0.7777777777777778,2,0.3,0.0,0.0,0.0,false,5.149342722571033,874393.5022867649,20.964464661957493,1.0973874385308378,7,0.9372031252155224,8.721268399990644,28.956000000000014,5.402891425674709,37.91502754859445
"(1, 9, 1, 2, 1, 4, 1, 7, 1, 2)",wing,2.54,10.1,0.7777777777777778,2,0.3,0.0,0.0,0.0,true,5.0146899365477156,816904.5963643692,19.569683117960636,1.0667326487739865,7,0.9011691440582031,8.451117971186463,28.956000000000014,5.223141529466479,36.65362476818582
"(1, 9, 1, 3, 1, 4, 1, 7, 1, 1)",wing,2.54,10.1,0.8055555555555556,2,0.3,0.0,0.0,0.0,false,5.0841896393866355,855521.6481301127,21.346183661432903,1.083239307157179,7,0.9197810699321587,8.633594649309703,28.956000000000014,5.344555972887001,37.50565595008422
"(1, 9, 1, 3, 1, 4, 1, 7, 1, 2)",wing,2.54,10.1,0.8055555555555556,2,0.3,0.0,0.0,0.0,true,4.9718670707105,804126.4852744896,20.05505866113608,1.0575437797052318,7,0.8898528503886697,8.389803480577315,28.956000000000014,5.182344728321871,36.36733142682015
"(1, 9, 1, 4, 1, 4, 1, 7, 1, 1)",wing,2.54,10.1,0.8333333333333334,2,0.3,0.0,0.0,0.0,false,5.030408245229384,839533.3554994535,21.76507599151543,1.0717275221231635,7,0.905479140820229,8.558556833887526,28.956000000000014,5.29462808791738,37.15528482749039
"(1, 9, 1, 4, 1, 4, 1, 7, 1, 2)",wing,2.54,10.1,0.8333333333333334,2,0.3,0.0,0.0,0.0,true,4.936671097891158,793183.0808766158,20.55972231868394,1.0501933159944803,7,0.8805844107806636,8.336903085893569,28.956000000000014,5.1471464112365775,36.120325692888265
"(1, 9, 1, 5, 1, 4, 1, 7, 1, 1)",wing,2.54,10.1,0.8611111111111112,2,0.3,0.0,0.0,0.0,false,4.987396891258471,825978.3891434048,22.21896602162471,1.062777854445214,7,0.8940891695775798,8.494386880062684,28.956000000000014,5.251931348212914,36.85565858395028
"(1, 9, 1, 5, 1, 4, 1, 7, 1, 2)",wing,2.54,10.1,0.8611111111111112,2,0.3,0.0,0.0,0.0,true,4.9095104199884885,783869.0905919735,21.08592359517495,1.0448228845807292,7,0.8734472661772698,8.291600408218265,28.956000000000014,5.117003384456512,35.90879568039658
"(1, 9, 1, 6, 1, 4, 1, 7, 1, 1)",wing,2.54,10.1,0.8888888888888888,2,0.3,0.0,0.0,0.0,false,4.955287101302862,814560.7229520745,22.70877088188262,1.056468889715013,7,0.8856072034898858,8.43994623668591,28.956000000000014,5.215708196394127,36.60146102732721
"(1, 9, 1, 6, 1, 4, 1, 7, 1, 2)",wing,2.54,10.1,0.8888888888888888,2,0.3,0.0,0.0,0.0,true,4.891233872430218,776061.3155059203,21.63759097153686,1.041661469721195,7,0.8686433527833415,8.253437664933978,28.956000000000014,5.091611053321831,35.73060388296022
"(1, 9, 1, 7, 1, 4, 1, 7, 1, 1)",wing,2.54,10.1,0.9166666666666666,2,0.3,0.0,0.0,0.0,false,4.935385855424004,805128.2765546986,23.23933289608484,1.0530803244917777,7,0.8803449464166795,8.394716865333733,28.956000000000014,5.185613945416609,36.39027330116919
"(1, 9, 1, 7, 1, 4, 1, 7, 1, 2)",wing,2.54,10.1,0.9166666666666666,2,0.3,0.0,0.0,0.0,true,4.883584124273478,769724.1603096527,22.22128958149309,1.0410765168196623,7,0.8666108713077463,8.22235685195095,28.956000000000014,5.0709308236716435,35.585479464362415
"(1, 9, 1, 8, 1, 4, 1, 7, 1, 1)",wing,2.54,10.1,0.9444444444444444,2,0.3,0.0,0.0,0.0,false,4.929633890034036,797615.3450408264,23.81804847255473,1.0529999158443137,7,0.8787877720438062,8.358551240475224,28.956000000000014,5.161550436269508,36.22140657031234
"(1, 9, 1, 8, 1, 4, 1, 7, 1, 2)",wing,2.54,10.1,0.9444444444444444,2,0.3,0.0,0.0,0.0,true,4.888815780933012,764882.4325003091,22.84576298486556,1.043546126186608,7,0.8679277813421316,8.198576274333197,28.956000000000014,5.055107949069949,35.474441747859295
"(1, 9, 1, 9, 1, 4, 1, 7, 1, 1)",wing,2.54,10.1,0.9722222222222222,2,0.3,0.0,0.0,0.0,false,4.939932259517509,791993.590736961,24.453376305965318,1.0566409084178747,7,0.8814240513075337,8.331446875430743,28.956000000000014,5.143516014391661,36.094849223801134
"(1, 9, 1, 9, 1, 4, 1, 7, 1, 2)",wing,2.54,10.1,0.9722222222222222,2,0.3,0.0,0.0,0.0,true,4.908974226795686,761559.588766186,23.519646825046685,1.0494728014314796,7,0.8731303811898925,8.182288040385043,28.956000000000014,5.044270252551915,35.39838773720643
